student_id,first_name,last_name,age,major,enrollment_date,course_grade,gpa,tuition_paid
17270,Taylor,Chen,23,Bio ,2024-02-28,12,3.8,17548.1
10860,Olivia,Martinez,73,Computer Science,"January 30, 2024",12,2.7,13129.13
15390,Priya,Garcia,52,bio,2024-02-10,95,1.9,19051.36
15191,Priya,Anderson,61,CS,2024-02-08,3,2.0,17242.61
15734,Noah,Wilson,36,Comp Sci,"February 08, 2024",-20,3.2,
16265,Sam,Chen,81,psych,"April 23, 2024",88,3.5,20527.69
10466,Evan,Anderson,24,Psych ,2024-05-26,-20,, 20000 
14426,Emma, Lopez,32,CS,2024-05-06,N/A,3.5,20537.3
15578,Noah,Brown ,30,Psych ,2024-02-15,12,1.9,18016.2
18322,Liam,Patel,31,Biology,2024-02-14,52,3.8,21382.1
11685,Jordan,Smith,82,BIO ,2024-01-01,100,,17487.13
10769,Evan,Chen,48,computer science,"January 15, 2024",N/A,3.2,16823.98
16949,Zoe,Martinez,79,BIO ,2024-04-17,0,1.9,18067.64
12433,Taylor,Brown,67,Comp Sci,2024-01-19,100,,18254.65
15311,Jamie ,Johnson,41,Psychology,2024-03-12, ninety ,1.9,16343.04
15051,Zoe,Clark,74,Comp Sci,2024-04-18,N/A,2.0,16759.24
16420,Ben,Nguyen,79,BIO ,"April 24, 2024",95,1.9,14932.81
11184,Liam,Martinez,78,PSYCH ,"March 27, 2024", ninety ,3.2,16913.39
14555,Emma,Wilson,38,Bio ,"May 27, 2024",76,N/A,19690.78
13385,Aisha,Clark,74,bio,2024-03-30,N/A,2.7,17656.61
16396,Noah,Clark,74,PSYCH ,2024-04-12, ninety ,,20522.66
18666,Jordan,Lopez,65,PSYCH ,"April 06, 2024",88,2.0,17536.43
19274,Luis,Nguyen,68,Bio ,2024-01-08,100,3.2,14421.21
12558,Ravi ,Patel,58,Bio ,2024-06-01,64,1.9,19493.19
17849,Maria,Patel,86,Biology,"January 21, 2024",64,2.0,16315.94
12047,Sam,Garcia,31,CS,"January 05, 2024",88,3.2,17416.58
12747,Priya,ANDERSON,70,Psychology,"March 02, 2024",76,N/A,21093.93
19167,Priya,Davis,76,Psychology,"January 24, 2024",0,2.0,15097.82
19998,Mia,Clark,24,PSYCH ,"January 22, 2024",76,2.0,18411.86
10189,Ravi,Garcia,69,Psych ,2024-05-25,95,2.7,17898.7
12734,Luis,Wilson,76,Biology,"January 08, 2024",12,3.5,19752.31
13005,Maria,Anderson,21,PSYCH ,2024-05-06,-20,,20137.88
14658,Zoe,Clark,84,computer science,2024-03-22,100,2.7,N/A
11899,Ravi,Brown,22,bio,2024-05-26,76,3.8,17099.06
17734,Aisha,Nguyen,63,Bio ,"March 26, 2024",52,,19183.43
11267,Maria,Davis,71,CS,2024-03-24,95,2.7,21339.14
11528, Chloe,Johnson,56,psych,2024-04-22, 85,1.9,17931.78
13556,Chloe,Lopez,68,Bio ,"March 12, 2024",3,,17331.86
13890,Ravi,Nguyen,32,computer science,"March 30, 2024", 85,,18970.43
18838,Maria,Garcia,29,Psych ,2024-05-22,0,3.2,18096.82
15393,Maria,Smith,46,Comp Sci,2024-02-10,95,1.9,14655.73
18792,Sam,Kim,35,Comp Sci,"April 14, 2024",100,3.8,18598.33
18433,Liam,Davis ,33,BIO ,"May 11, 2024", ninety ,3.5,14633.09
17513,Mia,Davis,79,computer science,2024-04-14,N/A,2.0,18936.2
12612,Luis,Wilson,35,BIO ,"February 18, 2024",-20,N/A,16007.14
17041,Taylor ,Lopez,74,PSYCH ,"April 22, 2024",3,2.7,18092.19
19555,EMMA,Chen,71,psych,"February 26, 2024", 85,3.2,18976.48
16235,Priya,Patel,78,Computer Science,2024-02-20,3,2.7,24134.76
15486,Jordan,Patel,39,Bio ,2024-04-27,52,3.8,19856.87
17099,Noah,Smith,25,Computer Science,"February 17, 2024",52,2.0,21412.0
19670,Luis,Brown,28,Psych ,2024-02-08, ninety ,3.8,22679.37
10775,Maria,WILSON,17,PSYCH ,2024-01-28,0,, 20000 
18226,Luis, Brown,74,Psychology,"April 15, 2024",52,N/A,18714.22
13152,Maria,Johnson,17,Bio ,2024-03-24,95,3.8,15333.2
11585,Jordan,Anderson,50,BIO ,"January 02, 2024",-20,2.7,17708.43
13943,Olivia,Nguyen,64,Psychology,2024-04-26,100,1.9,16192.28
17555,AISHA,Kim,17,CS,2024-01-02, ninety ,1.9,16997.35
13073,Luis,Martinez,32,psych,2024-04-02,95,,22676.66
11021,Mia,CHEN,77,psych,"January 13, 2024",64,3.5,18286.55
13843,Jamie,Garcia,80,Comp Sci,"May 22, 2024",N/A,2.7,15810.25
17989, Priya,Clark,79,Biology,"April 14, 2024",N/A,2.7,21436.33
19692,Noah, Martinez,85,Bio ,2024-03-21,52,3.8,20388.19
16873,Jordan,Anderson,38,BIO ,"April 24, 2024",64,N/A,20519.13
15675,Mia,Martinez,83,Psych ,"March 22, 2024",76,2.7,12984.67
10161,Sam,Wilson,42,Computer Science,"May 27, 2024",76,3.2,22871.68
14297,Jamie,Clark,32,Psych ,"February 29, 2024",100,3.5,16603.71
10995,Priya,Davis,67,Psychology,2024-03-02,52,3.8,19944.89
17629,Ethan,Smith,73,Psychology,2024-02-18, 85,3.2,24309.5
19467,Chloe,Patel,45,computer science,2024-05-06,95,,23388.33
11016,Sam,Johnson,85,CS,"March 10, 2024",52,1.9,15556.09
17869,Priya,Brown,63,Bio ,"May 05, 2024",12,,14388.71
16439,Ethan,Kim,78,psych,"May 20, 2024",3,1.9,21575.87
17892,Liam,Wilson,85,bio,"May 10, 2024",100,,18355.14
16863,Priya,Smith,32,BIO ,"May 03, 2024",N/A,2.7,16747.8
17916,Liam,Davis,64,Psych ,2024-04-16,76,3.2,19553.05
18529,RAVI,Garcia,55,BIO ,2024-05-25,88,1.9,17592.8
10878,Chloe,Johnson,49,Psychology,2024-04-08,76,3.8,19753.31
19268,Jamie,Wilson,39,Biology,2024-03-13,100,3.2,18167.45
14887,Liam,Davis,26,Comp Sci,2024-05-01,N/A,3.8,19805.97
14859,Ben,Kim,85,Computer Science,2024-01-30,100,3.2,15763.67
16331,Maria,Patel,50,CS,"February 04, 2024",3,3.2,21561.16
18571,Jamie,Patel,68,Biology,"May 14, 2024",N/A,,19744.06
18684,Jordan,Wilson,26,CS,"February 11, 2024",0,1.9,19615.74
17208,Jamie,Patel,35,computer science,"January 03, 2024",88,1.9,N/A
15276,Liam,Smith,74,bio,"January 19, 2024",52,N/A,22249.08
12062,Liam,Smith,17,Psychology,2024-02-10,0,3.2,17965.71
10064,Alex,Brown,85,Comp Sci,2024-03-03,64,2.7,19820.12
18006,Sam,Wilson,20,Bio ,2024-01-23,88,2.7,17192.94
12568,Ben,Brown,32,Biology,2024-03-15,N/A,3.8,18652.22
15463,Ethan ,Wilson,40,CS,2024-02-17,N/A,3.8,18742.82
12027,Jamie,Garcia,18,psych,"January 07, 2024",12,,10950.17
12695,Alex,Wilson,48,computer science,2024-04-27, ninety ,3.2,19456.12
19687,Ethan,Kim,40,psych,2024-04-09,12,3.8,22913.35
15258,Luis,Anderson,28,Comp Sci,"January 14, 2024",-20,3.8,19349.45
15618,Liam,Johnson,66,Bio ,"May 16, 2024",12,3.5,15605.73
16736,Noah, Lopez,51,Bio ,"January 03, 2024",95,3.2,19624.9
10391,Liam,Clark ,49,Biology,2024-01-07,64,2.0,20648.7
15892,Aisha,Lopez,49,BIO ,"February 12, 2024",0,,19281.17
13561,Taylor,Davis,77,computer science,2024-02-25,3,3.8,17814.68
16184,Sam,Patel,67,Bio ,"February 09, 2024",0,,17394.63
13099,Evan,Johnson,59,Bio ,2024-02-16,0,1.9,17384.23
16278,Priya,Martinez,230,Biology,2024-05-27,88,,19744.44
18392,Noah,Anderson,83,Psychology,"May 01, 2024",N/A,2.0,14482.19
